brand_name,url,vertical,notes
Acko Health Insurance,https://www.acko.com/gi/p/health/buy-base,Insurance / Fintech,Direct-to-consumer health insurance in India; long consideration cycle; trust + claims experience are key
Shangri-La CHI The Spa Bengaluru,https://www.shangri-la.com/bengaluru/shangrila/health-leisure/chi-the-spa/,Luxury hospitality / wellness spa,Luxury hotel spa; appointment/booking driven; affluent local + hotel-guest audience
